Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
EU,Europe,NOR,Norway,2016,All,Age_all,[All],40609.00000000,100.00000000,355.73964438,775.55059050,
EU,Europe,NOR,Norway,2016,Male,Age_all,[All],19623.00000000,100.00000000,420.52536263,744.10706678,
EU,Europe,NOR,Norway,2016,Female,Age_all,[All],20986.00000000,100.00000000,300.04744844,807.45493368,
OA,Oceania,NZL,New Zealand,2016,All,Age_all,[All],31398.00000000,100.00000000,364.21827279,669.08033951,
OA,Oceania,NZL,New Zealand,2016,Male,Age_all,[All],15898.00000000,100.00000000,425.24282001,688.58579602,
OA,Oceania,NZL,New Zealand,2016,Female,Age_all,[All],15500.00000000,100.00000000,309.83949811,650.18960368,
AS,Asia,OMN,Oman,2021,All,Age_all,[All],12546.00000000,100.00000000,602.16899747,277.10987608,
AS,Asia,OMN,Oman,2021,Male,Age_all,[All],7799.00000000,100.00000000,679.20816540,282.45436510,
AS,Asia,OMN,Oman,2021,Female,Age_all,[All],4747.00000000,100.00000000,514.01438741,268.75510957,
CSA,Central and South America,PER,Peru,2020,All,Age_all,[All],233997.00000000,100.00000000,663.72686271,709.68711678,
CSA,Central and South America,PER,Peru,2020,Male,Age_all,[All],139731.00000000,100.00000000,846.37761885,853.13121275,
CSA,Central and South America,PER,Peru,2020,Female,Age_all,[All],94266.00000000,100.00000000,499.48664983,568.09881614,
AS,Asia,PHL,Philippines,2019,All,Age_all,[All],620414.00000000,100.00000000,783.36828951,578.26889549,
AS,Asia,PHL,Philippines,2019,Male,Age_all,[All],354486.00000000,100.00000000,980.17253474,654.01746323,
AS,Asia,PHL,Philippines,2019,Female,Age_all,[All],265928.00000000,100.00000000,614.98971148,500.93012685,
EU,Europe,PRT,Portugal,2019,All,Age_all,[All],112334.00000000,100.00000000,379.13438651,1098.49350500,
EU,Europe,PRT,Portugal,2019,Male,Age_all,[All],56214.00000000,100.00000000,499.21913725,1162.24496420,
EU,Europe,PRT,Portugal,2019,Female,Age_all,[All],56120.00000000,100.00000000,283.83088468,1041.28320530,
AS,Asia,QAT,Qatar,2021,All,Age_all,[All],2741.00000000,100.00000000,296.99313644,93.53263303,
AS,Asia,QAT,Qatar,2021,Male,Age_all,[All],1980.00000000,100.00000000,299.22141472,90.13680308,
AS,Asia,QAT,Qatar,2021,Female,Age_all,[All],761.00000000,100.00000000,308.96604922,103.69782916,
EU,Europe,ROU,Romania,2019,All,Age_all,[All],259889.00000000,100.00000000,638.27665822,1341.30477470,
EU,Europe,ROU,Romania,2019,Male,Age_all,[All],136245.00000000,100.00000000,840.95540601,1436.78024550,
EU,Europe,ROU,Romania,2019,Female,Age_all,[All],123644.00000000,100.00000000,468.53282292,1249.79101750,
EU,Europe,RUS,Russia,2019,All,Age_all,[All],1798307.00000000,100.00000000,725.04669054,1225.29978350,
EU,Europe,RUS,Russia,2019,Male,Age_all,[All],898506.00000000,100.00000000,1023.74512710,1319.20323650,
EU,Europe,RUS,Russia,2019,Female,Age_all,[All],899801.00000000,100.00000000,513.18597714,1143.98584180,
CSA,Central and South America,SLV,El Salvador,2018,All,Age_all,[All],37469.00000000,100.00000000,577.12705479,583.56147401,
CSA,Central and South America,SLV,El Salvador,2018,Male,Age_all,[All],21491.00000000,100.00000000,778.43928260,713.88520171,
CSA,Central and South America,SLV,El Salvador,2018,Female,Age_all,[All],15978.00000000,100.00000000,421.69743196,468.52018232,
EU,Europe,SVN,Slovenia,2020,All,Age_all,[All],24016.00000000,100.00000000,431.23368983,1143.55043460,
EU,Europe,SVN,Slovenia,2020,Male,Age_all,[All],11733.00000000,100.00000000,555.53174142,1112.67796640,
EU,Europe,SVN,Slovenia,2020,Female,Age_all,[All],12283.00000000,100.00000000,327.01968121,1174.68390260,
AF,Africa,SYC,Seychelles,2021,All,Age_all,[All],925.00000000,100.00000000,805.85977635,931.91480787,
AF,Africa,SYC,Seychelles,2021,Male,Age_all,[All],481.00000000,100.00000000,985.34369110,954.11897725,
AF,Africa,SYC,Seychelles,2021,Female,Age_all,[All],444.00000000,100.00000000,669.02679970,908.99785034,
AS,Asia,THA,Thailand,2019,All,Age_all,[All],494339.00000000,100.00000000,544.40525535,754.05920467,
AS,Asia,THA,Thailand,2019,Male,Age_all,[All],279924.00000000,100.00000000,695.74537606,872.17478467,
AS,Asia,THA,Thailand,2019,Female,Age_all,[All],214415.00000000,100.00000000,409.22343370,640.76949598,
AS,Asia,TJK,Tajikistan,2017,All,Age_all,[All],32024.00000000,100.00000000,710.32950039,370.34908269,
AS,Asia,TJK,Tajikistan,2017,Male,Age_all,[All],17894.00000000,100.00000000,816.45976176,408.59982290,
AS,Asia,TJK,Tajikistan,2017,Female,Age_all,[All],14130.00000000,100.00000000,611.32963712,331.09704190,
AS,Asia,TKM,Turkmenistan,2015,All,Age_all,[All],32247.00000000,100.00000000,808.94729519,579.43103384,
AS,Asia,TKM,Turkmenistan,2015,Male,Age_all,[All],18112.00000000,100.00000000,1004.26428740,661.00501082,
AS,Asia,TKM,Turkmenistan,2015,Female,Age_all,[All],14135.00000000,100.00000000,651.66436320,500.31625934,
AS,Asia,TUR,Turkey,2019,All,Age_all,[All],435941.00000000,100.00000000,477.53849187,527.90500880,
AS,Asia,TUR,Turkey,2019,Male,Age_all,[All],238044.00000000,100.00000000,597.89459440,574.56141431,
AS,Asia,TUR,Turkey,2019,Female,Age_all,[All],197897.00000000,100.00000000,375.87121867,480.92922670,
EU,Europe,UKR,Ukraine,2019,All,Age_all,[All],581114.00000000,100.00000000,741.61708232,1388.29282850,
EU,Europe,UKR,Ukraine,2019,Male,Age_all,[All],287513.00000000,100.00000000,1046.97332180,1482.07497200,
EU,Europe,UKR,Ukraine,2019,Female,Age_all,[All],293601.00000000,100.00000000,524.10381049,1307.28619000,
CSA,Central and South America,URY,Uruguay,2020,All,Age_all,[All],32637.00000000,100.00000000,509.39859348,939.53761519,
CSA,Central and South America,URY,Uruguay,2020,Male,Age_all,[All],16339.00000000,100.00000000,687.45937521,973.52377593,
CSA,Central and South America,URY,Uruguay,2020,Female,Age_all,[All],16298.00000000,100.00000000,382.33607144,907.76883698,
AS,Asia,UZB,Uzbekistan,2019,All,Age_all,[All],154569.00000000,100.00000000,659.10656294,460.29542837,
AS,Asia,UZB,Uzbekistan,2019,Male,Age_all,[All],84264.00000000,100.00000000,778.23605899,499.25544793,
AS,Asia,UZB,Uzbekistan,2019,Female,Age_all,[All],70305.00000000,100.00000000,558.13414265,420.92609489,
NAC,North America and the Caribbean,VCT,Saint Vincent and the Grenadines,2021,All,Age_all,[All],1027.00000000,100.00000000,732.14974704,923.03820677,
NAC,North America and the Caribbean,VCT,Saint Vincent and the Grenadines,2021,Male,Age_all,[All],590.00000000,100.00000000,867.41991164,1047.58522730,
NAC,North America and the Caribbean,VCT,Saint Vincent and the Grenadines,2021,Female,Age_all,[All],437.00000000,100.00000000,594.20277485,795.28289869,
CSA,Central and South America,VEN,Venezuela,2016,All,Age_all,[All],190474.00000000,100.00000000,716.50613530,638.07702557,
CSA,Central and South America,VEN,Venezuela,2016,Male,Age_all,[All],116060.00000000,100.00000000,947.62662658,783.62228083,
CSA,Central and South America,VEN,Venezuela,2016,Female,Age_all,[All],74414.00000000,100.00000000,514.31767979,494.75610653,
AF,Africa,ZAF,South Africa,2018,All,Age_all,[All],452345.00000000,100.00000000,1054.47679620,782.70512456,
AF,Africa,ZAF,South Africa,2018,Male,Age_all,[All],238543.00000000,100.00000000,1235.79468470,837.13711691,
AF,Africa,ZAF,South Africa,2018,Female,Age_all,[All],213802.00000000,100.00000000,907.14679843,729.76374342,
CSA,Central and South America,ARG,Argentina,2021,All,Age_all,[All],436799.00000000,100.00000000,704.03629835,957.77017612,
CSA,Central and South America,ARG,Argentina,2021,Male,Age_all,[All],227443.00000000,100.00000000,911.80808832,1022.00508250,
CSA,Central and South America,ARG,Argentina,2021,Female,Age_all,[All],206588.00000000,100.00000000,539.27098895,884.69831384,
CSA,Central and South America,ARG,Argentina,2021,Unknown,Age_all,[All],2768.00000000,100.00000000,,,
AS,Asia,ARM,Armenia,2022,All,Age_all,[All],26692.00000000,100.00000000,593.57970953,898.94784843,
AS,Asia,ARM,Armenia,2022,Male,Age_all,[All],13783.00000000,100.00000000,783.50286036,983.60702534,
AS,Asia,ARM,Armenia,2022,Female,Age_all,[All],12909.00000000,100.00000000,452.89313112,823.28961248,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2021,All,Age_all,[All],676.00000000,100.00000000,584.41888979,684.68869960,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2021,Male,Age_all,[All],348.00000000,100.00000000,653.00782978,729.89638827,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,2021,Female,Age_all,[All],328.00000000,100.00000000,524.49720042,642.50734574,
EU,Europe,BEL,Belgium,2020,All,Age_all,[All],126896.00000000,100.00000000,418.25931100,1099.75042070,
EU,Europe,BEL,Belgium,2020,Male,Age_all,[All],62208.00000000,100.00000000,514.81098398,1093.12182680,
EU,Europe,BEL,Belgium,2020,Female,Age_all,[All],64688.00000000,100.00000000,336.66407328,1106.20115970,
